매물번호,보증금,월세,층,위도,경도,주소,지하철역_거리(m),세탁소_거리(m),카페_거리(m),약국_거리(m),대형마트_거리(m),편의점_거리(m),버스정류장_거리(m)
47475530,100,25,3,35.83876419067383,128.7578735351567,경상북도 경산시 조영동,530,307,137,62,2116,137,172
47473757,200,33,3,35.8391053565248,128.751156772356,경상북도 경산시 대동,350,224,126,319,1566,97,327
47473281,200,30,2,35.83790430536353,128.75335853655105,경상북도 경산시 대동,187,147,19,91,1699,85,108
47473274,200,30,2,35.8379068628082,128.753393231573,경상북도 경산시 대동,188,146,20,90,1702,83,107
47472042,100,28,3,35.8381491845981,128.751502171386,경상북도 경산시 대동,241,226,24,220,1551,49,243
47471028,200,35,2,35.8404790818798,128.75660982676,경상북도 경산시 조영동,577,184,37,94,2076,82,136
47469615,100,23,3,35.8411683218776,128.752002061001,경상북도 경산시 임당동,549,264,232,428,1743,31,168
47469547,100,24,1,35.8413136850571,128.7514017659,경상북도 경산시 임당동,575,309,182,476,1705,85,194
47469543,100,24,3,35.8413136850578,128.751401765899,경상북도 경산시 임당동,575,309,182,476,1705,85,194
47469517,100,24,2,35.8413136850571,128.7514017659,경상북도 경산시 임당동,575,309,182,476,1705,85,194
47468864,70,15,3,35.843329693224355,128.7525748674593,경상북도 경산시 임당동,785,299,248,575,1920,162,243
47468287,100,30,2,35.8391409857947,128.752495428901,경상북도 경산시 조영동,320,103,66,248,1677,48,247
47467869,200,36,2,35.8384572156592,128.751716667668,경상북도 경산시 대동,263,192,42,232,1582,45,248
47467639,200,40,3,35.8382540618816,128.759581754762,경상북도 경산시 조영동,645,466,38,190,2247,37,208
47467446,200,38,3,35.8403106927139,128.756558414277,경상북도 경산시 조영동,559,194,32,83,2065,90,139
47467302,200,35,2,35.8369234140052,128.752000770827,경상북도 경산시 대동,105,293,40,119,1550,134,162
47467289,100,22,2,35.8374737169349,128.75181633051,경상북도 경산시 대동,163,253,67,153,1552,79,186
47467193,50,520,1,35.8369234140052,128.752000770827,경상북도 경산시 대동,105,293,40,119,1550,134,162
47466459,200,34,2,35.8389685278027,128.758550172723,경상북도 경산시 조영동,594,363,116,67,2181,74,125
47465735,200,33,3,35.8404779001754,128.756894002318,경상북도 경산시 조영동,592,203,26,81,2100,69,110
47465603,200,30,2,35.8402135342987,128.75631921638,경상북도 경산시 조영동,538,185,53,95,2040,79,161
47465555,50,15,3,35.842727222319,128.754555173491,경상북도 경산시 조영동,733,133,159,405,2030,133,184
47465339,200,29,1,35.8400571031729,128.752937790713,경상북도 경산시 조영동,420,114,87,279,1757,98,140
